car_plate,owner_name,owner_addr,vechicle_type,registration_date
FT 02,Goh Mei Wei,"943 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2006-08-22T03:18:00
DQZ 793,Muhammad bin Liyana,"946 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2008-04-13T09:01:23
GUT 393,Haziq bin Azlan,"900 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2008-01-20T20:50:45
KN 37,Haziq binti Liyana,"285 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1999-10-15T22:28:10
CJ 6,Wong Mei Hui,"549 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-01-25T22:36:25
IAT 3,Tan Mei Hui,"932 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2008-04-07T12:08:09
VKD 047,Foo Mei Jie,"254 Jalan Bukit Mawar, Kuala Lumpur",SUV,2006-11-30T10:09:29
HDU 9,Chan Jie Liang,"847 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1994-10-26T08:10:47
TH 9,Siti binti Ahmad,"647 Jalan Bukit Mawar, Kuala Lumpur",SUV,1998-07-28T16:54:51
IQT 260,Nurul binti Aisyah,"724 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1997-04-01T05:52:11
JIF 3729,Chan Mei Jun,"322 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-10-22T01:23:15
XUB 415,Nurul binti Aisyah,"67 Jalan Bukit Melati, Kuala Lumpur",Truck,2001-08-17T02:02:11
WPP 0489,Deepa a/l Devi,"682 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1992-02-11T02:13:23
EL 81,Lee Hui Mei,"278 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1996-09-28T05:25:10
XO 798,Raj a/l Priya,"352 Jalan Bukit Melati, Kuala Lumpur",SUV,1995-10-06T05:05:43
WVY 6,Priya a/l Deepa,"212 Jalan Bukit Bintang, Kuala Lumpur",Truck,1995-05-13T19:32:50
YOY 5191,Chan Jie Ling,"935 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2007-09-29T21:51:33
NQ 0,Nur bin Azlan,"284 Jalan Bukit Bintang, Kuala Lumpur",SUV,2008-11-06T16:30:38
PE 98,Kumar a/p Suresh,"480 Jalan Bukit Melati, Kuala Lumpur",Coupe,1993-05-16T07:06:38
UT 0,Kumar a/p Suresh,"400 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1991-08-03T18:17:01
EM 57,Priya a/p Kumar,"490 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2010-07-18T19:39:20
ES 3307,Farid binti Muhammad,"813 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2002-09-27T20:15:35
ZYW 3194,Chan Yan Jun,"115 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2000-03-03T06:59:06
MY 4,Ng Liang Ling,"91 Jalan Bukit Bintang, Kuala Lumpur",SUV,2007-07-31T13:12:43
PG 992,Anita a/l Anita,"665 Jalan Bukit Melati, Kuala Lumpur",Truck,2002-08-21T02:33:55
SJK 597,Kumar a/l Suresh,"288 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1994-04-28T06:02:54
TUJ 2625,Lee Liang Mei,"999 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1996-10-06T04:54:43
EFP 6705,Wong Jie Mei,"675 Jalan Bukit Melati, Kuala Lumpur",Coupe,1992-03-30T13:30:45
YFG 9874,Lee Xuan Yan,"920 Jalan Bukit Melati, Kuala Lumpur",Coupe,2000-08-26T17:20:26
SAC 506,Liyana binti Muhammad,"407 Jalan Bukit Melati, Kuala Lumpur",Truck,1997-09-27T04:31:09
AQS 112,Ng Liang Xuan,"927 Jalan Bukit Melati, Kuala Lumpur",Sedan,1991-05-26T00:26:13
KJ 4555,Nurul binti Ahmad,"454 Jalan Bukit Melati, Kuala Lumpur",SUV,1990-11-04T01:49:27
BF 83,Foo Xuan Mei,"394 Jalan Bukit Mawar, Kuala Lumpur",SUV,2004-11-14T21:02:01
DBL 56,Azlan bin Haziq,"888 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1993-02-28T07:54:18
PKY 017,Priya a/l Priya,"540 Jalan Bukit Mawar, Kuala Lumpur",Truck,2004-03-13T16:20:34
MM 0539,Kumar a/p Priya,"667 Jalan Bukit Melati, Kuala Lumpur",Sedan,1991-04-21T12:24:41
WH 2992,Farid binti Aisyah,"997 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2001-12-21T14:47:58
XP 60,Farid binti Liyana,"407 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2009-03-07T09:11:14
HJ 72,Haziq bin Siti,"17 Jalan Bukit Mawar, Kuala Lumpur",SUV,2010-02-25T15:52:02
ON 1,Siti bin Liyana,"440 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1992-07-16T15:48:11
KM 1494,Devi a/l Devi,"187 Jalan Bukit Melati, Kuala Lumpur",SUV,1999-12-21T13:59:24
RSM 5,Ahmad binti Aisyah,"439 Jalan Bukit Melati, Kuala Lumpur",Coupe,1999-12-29T02:29:32
NUT 0,Foo Ling Xuan,"166 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-11-18T22:09:21
HCC 166,Devi a/l Raj,"504 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2005-05-13T22:01:58
AN 0,Mani a/l Priya,"829 Jalan Bukit Mawar, Kuala Lumpur",Coupe,1991-04-02T05:20:29
RXU 6,Priya a/p Deepa,"694 Jalan Bukit Mawar, Kuala Lumpur",Coupe,2002-02-28T08:50:01
CK 2366,Lim Wei Xuan,"375 Jalan Bukit Bintang, Kuala Lumpur",SUV,2004-02-17T06:30:07
PZF 5,Teoh Yan Jun,"187 Jalan Bukit Mawar, Kuala Lumpur",SUV,1996-11-14T02:51:09
ACF 790,Goh Hui Wei,"127 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1995-01-19T18:52:18
FE 873,Farid binti Aisyah,"87 Jalan Bukit Mawar, Kuala Lumpur",SUV,2005-10-21T14:07:25
HC 7579,Wong Jun Hui,"623 Jalan Bukit Melati, Kuala Lumpur",Coupe,2009-09-11T16:04:42
RI 6,Arjun a/p Devi,"927 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-09-08T16:05:51
MBA 5931,Mani a/l Devi,"647 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-05-20T20:02:53
GGP 32,Liyana bin Farid,"700 Jalan Bukit Mawar, Kuala Lumpur",Sedan,1994-11-16T14:43:44
QIR 4,Raj a/p Kumar,"302 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2001-10-03T21:07:12
FC 7914,Chong Jun Liang,"237 Jalan Bukit Melati, Kuala Lumpur",SUV,2010-07-10T08:08:51
TXT 598,Goh Wei Xuan,"350 Jalan Bukit Melati, Kuala Lumpur",Hatchback,1994-03-19T11:33:44
QU 03,Suresh a/p Raj,"399 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-06-02T05:40:37
DR 2,Lakshmi a/l Priya,"473 Jalan Bukit Bintang, Kuala Lumpur",Truck,2000-01-23T18:23:57
BL 75,Lim Wei Hui,"774 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1996-03-12T20:56:39
DA 06,Ahmad bin Farid,"672 Jalan Bukit Bintang, Kuala Lumpur",Truck,2004-06-07T23:59:39
KY 3,Lakshmi a/p Devi,"623 Jalan Bukit Bintang, Kuala Lumpur",Sedan,2001-03-27T12:19:26
CYQ 1359,Anita a/l Lakshmi,"344 Jalan Bukit Bintang, Kuala Lumpur",Truck,1994-01-03T06:50:14
UJ 6856,Azlan bin Siti,"849 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1996-04-21T02:46:04
DRQ 6623,Farid binti Muhammad,"783 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1993-01-23T22:07:25
RVL 7037,Lakshmi a/l Devi,"930 Jalan Bukit Melati, Kuala Lumpur",Sedan,2005-01-16T05:43:27
CR 50,Farid bin Haziq,"16 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,1999-03-07T03:59:12
CW 65,Haziq bin Aisyah,"544 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2006-04-14T23:46:05
RW 48,Muhammad bin Nurul,"820 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2008-02-22T23:00:00
YNS 868,Lim Hua Liang,"110 Jalan Bukit Mawar, Kuala Lumpur",SUV,1995-11-11T07:54:46
RE 8659,Ahmad bin Nurul,"863 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2008-02-02T14:51:12
QZR 0550,Devi a/p Suresh,"404 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2003-03-03T20:51:05
WX 0641,Muhammad binti Haziq,"318 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2005-07-29T04:35:42
WRY 5401,Nurul binti Farid,"425 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2008-05-27T09:17:29
KIR 8,Lim Mei Yan,"744 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1996-12-31T00:47:51
HQ 1,Anita a/l Lakshmi,"689 Jalan Bukit Bintang, Kuala Lumpur",SUV,1997-02-05T19:12:13
QH 4901,Teoh Hua Yan,"100 Jalan Bukit Melati, Kuala Lumpur",SUV,2008-04-06T01:24:19
GQF 119,Ahmad bin Siti,"499 Jalan Bukit Bintang, Kuala Lumpur",Truck,2003-08-05T05:13:06
DA 0910,Nurul binti Azlan,"109 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1998-02-08T10:28:09
MO 7374,Liyana binti Azlan,"268 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,2004-07-07T03:09:06
RRR 3830,Farid bin Nur,"219 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2002-07-02T03:58:41
BXT 0145,Lakshmi a/p Raj,"156 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1992-06-05T19:01:13
JBD 07,Azlan binti Aisyah,"911 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2004-09-14T20:07:35
YLS 68,Liyana bin Nur,"245 Jalan Bukit Jelutong, Kuala Lumpur",Sedan,2003-12-21T12:09:15
NT 266,Farid bin Ahmad,"681 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1993-08-28T06:17:40
EE 47,Ahmad binti Nur,"435 Jalan Bukit Mawar, Kuala Lumpur",Truck,2004-11-24T09:36:16
OFU 39,Wong Jie Wei,"289 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-10-21T00:33:58
ND 545,Siti bin Liyana,"141 Jalan Bukit Jelutong, Kuala Lumpur",Truck,1993-07-29T02:48:23
QA 4662,Wong Xuan Wei,"218 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,1999-01-10T20:46:23
IK 8586,Devi a/p Devi,"680 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2001-06-05T07:04:41
XCV 4553,Farid binti Muhammad,"986 Jalan Bukit Bintang, Kuala Lumpur",Truck,1995-12-21T03:31:38
QJ 495,Deepa a/p Suresh,"357 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1995-06-20T18:10:43
KV 4,Muhammad bin Nur,"608 Jalan Bukit Bintang, Kuala Lumpur",SUV,1995-12-29T21:34:07
PU 65,Haziq bin Farid,"988 Jalan Bukit Melati, Kuala Lumpur",SUV,2010-09-21T16:51:41
OUO 1,Azlan binti Haziq,"447 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2007-09-10T15:57:57
ZMB 70,Liyana bin Haziq,"779 Jalan Bukit Bintang, Kuala Lumpur",Truck,1991-02-28T11:03:48
HEK 0671,Nur binti Haziq,"813 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2003-03-22T00:59:11
QT 5,Priya a/p Lakshmi,"168 Jalan Bukit Bintang, Kuala Lumpur",Hatchback,1996-04-25T09:07:22
SL 1,Wong Hui Jun,"556 Jalan Bukit Mawar, Kuala Lumpur",SUV,2005-01-07T10:26:27
HAI 280,Lim Liang Jie,"601 Jalan Bukit Mawar, Kuala Lumpur",Truck,1997-05-09T09:57:56
MMI 2,Goh Mei Ling,"667 Jalan Bukit Jelutong, Kuala Lumpur",Truck,2002-02-13T02:56:16
CC 8,Siti bin Nurul,"559 Jalan Bukit Bintang, Kuala Lumpur",Truck,1990-09-10T14:46:04
MJY 857,Priya a/l Priya,"933 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2006-11-08T17:50:47
GC 1421,Haziq binti Liyana,"711 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1992-04-20T12:13:58
EXE 817,Lim Xuan Yan,"594 Jalan Bukit Bintang, Kuala Lumpur",Coupe,1993-11-04T22:01:40
MGN 56,Foo Hui Mei,"175 Jalan Bukit Bintang, Kuala Lumpur",SUV,2008-09-10T19:52:22
UGW 761,Devi a/p Raj,"848 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2008-04-05T13:59:40
SO 733,Suresh a/p Devi,"999 Jalan Bukit Melati, Kuala Lumpur",SUV,2002-05-16T16:19:49
XH 27,Lakshmi a/p Mani,"925 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2008-08-23T01:43:09
WQK 59,Priya a/p Priya,"53 Jalan Bukit Mawar, Kuala Lumpur",Truck,2001-11-18T08:56:24
COG 31,Wong Xuan Mei,"63 Jalan Bukit Bintang, Kuala Lumpur",SUV,2005-05-02T03:56:19
PAX 12,Devi a/p Kumar,"92 Jalan Bukit Bintang, Kuala Lumpur",SUV,1994-06-28T18:36:06
KUJ 5710,Anita a/p Arjun,"27 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2007-02-19T22:43:40
QP 42,Suresh a/p Deepa,"283 Jalan Bukit Bintang, Kuala Lumpur",Coupe,2000-06-12T19:14:39
CDS 8,Tan Jie Ling,"652 Jalan Bukit Melati, Kuala Lumpur",Sedan,2008-06-13T06:01:06
AXE 976,Goh Liang Jun,"239 Jalan Bukit Bintang, Kuala Lumpur",Truck,1991-08-04T13:52:16
SU 5,Lim Jie Jun,"85 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1995-07-04T01:35:49
ZD 6321,Teoh Wei Ling,"185 Jalan Bukit Melati, Kuala Lumpur",Truck,1990-03-07T13:55:01
FGH 3497,Foo Hua Ling,"888 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1990-08-07T14:13:47
WUO 0363,Anita a/p Mani,"659 Jalan Bukit Mawar, Kuala Lumpur",Truck,1991-10-07T23:45:11
TQJ 8,Raj a/p Lakshmi,"323 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,1994-07-25T13:11:52
BKL 520,Lee Jie Jun,"900 Jalan Bukit Mawar, Kuala Lumpur",Hatchback,1990-05-28T19:38:49
TS 93,Ng Jun Ling,"845 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2008-09-24T12:17:37
SB 74,Raj a/p Mani,"384 Jalan Bukit Jelutong, Kuala Lumpur",SUV,1997-03-17T04:43:01
YM 9,Arjun a/l Devi,"983 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2006-06-07T15:11:36
HNK 6322,Kumar a/p Suresh,"896 Jalan Bukit Jelutong, Kuala Lumpur",Coupe,2003-12-19T22:17:54
TUL 2245,Foo Jie Xuan,"352 Jalan Bukit Melati, Kuala Lumpur",Truck,1996-03-07T11:24:54
ZSD 793,Mani a/l Devi,"553 Jalan Bukit Bintang, Kuala Lumpur",Sedan,1997-10-20T00:20:41
IJ 321,Haziq bin Ahmad,"752 Jalan Bukit Melati, Kuala Lumpur",Hatchback,2002-10-13T14:21:28
FWE 3231,Suresh a/p Lakshmi,"745 Jalan Bukit Mawar, Kuala Lumpur",Sedan,2009-11-27T07:31:47
YDF 2011,Priya a/l Suresh,"423 Jalan Bukit Jelutong, Kuala Lumpur",SUV,2009-03-09T23:15:40
YT 0089,Nur bin Nurul,"263 Jalan Bukit Melati, Kuala Lumpur",Sedan,1997-01-07T07:00:40
WGI 92,Ng Hui Mei,"346 Jalan Bukit Jelutong, Kuala Lumpur",Hatchback,2009-12-17T14:35:09
SPL 4397,Siti bin Nur,"616 Jalan Bukit Bintang, Kuala Lumpur",SUV,2010-08-22T10:39:45
BUD 40,Foo Liang Xuan,"269 Jalan Bukit Melati, Kuala Lumpur",Truck,2002-11-04T07:22:32
DK 5475,Foo Mei Ling,"689 Jalan Bukit Melati, Kuala Lumpur",Truck,2002-05-01T22:08:24
